num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
4,8.000000,15.293179,0.000064,0.000019,499968.000000,3199938.827285,24999.694136,99996.000000,0.000852,2,1
1,5.000000,9.132820,0.000074,0.000022,499963.000000,3199929.694464,24999.648472,99995.000000,0.000133,2,1
1,5.000000,9.253433,0.000084,0.000025,499958.000000,3199920.441031,24999.602205,99994.000000,0.000133,2,1
3,6.000000,12.901119,0.000120,0.000037,499940.000000,3199881.737675,24999.408688,99991.000000,0.000479,2,1
2,5.000000,10.340134,0.000140,0.000043,499930.000000,3199861.057407,24999.305287,99989.000000,0.000266,2,1
2,5.000000,10.266518,0.000160,0.000050,499920.000000,3199840.524371,24999.202622,99987.000000,0.000266,2,1
2,5.000000,9.537711,0.000180,0.000056,499910.000000,3199821.448949,24999.154933,99985.000000,0.000266,2,1
3,5.000000,10.681782,0.000210,0.000066,499895.000000,3199789.403603,24999.074820,99982.000000,0.000399,2,1
2,12.000000,11.819176,0.000258,0.000073,499871.000000,3199765.765250,24999.045272,99980.000000,0.000639,2,1
3,7.000000,13.085694,0.000300,0.000085,499850.000000,3199726.508169,24998.848987,99977.000000,0.000559,2,1
8,8.000000,15.991396,0.000428,0.000125,499786.000000,3199598.577000,24998.529159,99969.000000,0.001703,2,1
2,12.000000,11.948664,0.000476,0.000133,499762.000000,3199574.679672,24998.499287,99967.000000,0.000639,2,1
3,6.000000,12.213960,0.000512,0.000144,499744.000000,3199538.037793,24998.316078,99964.000000,0.000479,2,1
3,14.000000,14.461796,0.000596,0.000158,499702.000000,3199494.652404,24998.261846,99961.000000,0.001118,2,1
1,4.000000,8.558042,0.000604,0.000161,499698.000000,3199486.094362,24998.219056,99960.000000,0.000106,2,1
3,14.000000,14.264794,0.000688,0.000174,499656.000000,3199443.299980,24998.165563,99957.000000,0.001118,2,1
4,8.000000,15.293179,0.000752,0.000193,499624.000000,3199382.127265,24997.859699,99953.000000,0.000852,2,1
4,16.000000,15.617838,0.000880,0.000213,499560.000000,3199319.655914,24997.781610,99949.000000,0.001703,2,1
1,8.000000,8.130405,0.000896,0.000215,499552.000000,3199311.525509,24997.771447,99948.000000,0.000213,2,1
2,5.000000,9.097853,0.000916,0.000221,499542.000000,3199293.329804,24997.725958,99946.000000,0.000266,2,1
1,9.000000,9.038324,0.000934,0.000224,499533.000000,3199284.291480,24997.714660,99945.000000,0.000240,2,1
5,6.000000,12.103459,0.000994,0.000243,499503.000000,3199223.774185,24997.563367,99940.000000,0.000798,2,1
5,7.000000,13.100418,0.001064,0.000263,499468.000000,3199158.272094,24997.399611,99935.000000,0.000931,2,1
2,6.000000,11.201829,0.001088,0.000270,499456.000000,3199135.868436,24997.287593,99933.000000,0.000319,2,1
3,6.000000,12.207963,0.001124,0.000281,499438.000000,3199099.244548,24997.104474,99930.000000,0.000479,2,1
2,5.000000,10.222198,0.001144,0.000288,499428.000000,3199078.800152,24997.002252,99928.000000,0.000266,2,1
2,11.000000,10.918276,0.001188,0.000295,499406.000000,3199056.963601,24996.974956,99926.000000,0.000585,2,1
1,5.000000,9.132820,0.001198,0.000298,499401.000000,3199047.830780,24996.929292,99925.000000,0.000133,2,1
1,5.000000,9.253433,0.001208,0.000300,499396.000000,3199038.577347,24996.883025,99924.000000,0.000133,2,1
3,6.000000,12.901119,0.001244,0.000313,499378.000000,3198999.873991,24996.689508,99921.000000,0.000479,2,1
3,6.000000,12.213960,0.001280,0.000324,499360.000000,3198963.232112,24996.506298,99918.000000,0.000479,2,1
3,14.000000,14.461796,0.001364,0.000338,499318.000000,3198919.846724,24996.452067,99915.000000,0.001118,2,1
1,4.000000,8.558042,0.001372,0.000340,499314.000000,3198911.288681,24996.409276,99914.000000,0.000106,2,1
3,14.000000,14.264794,0.001456,0.000354,499272.000000,3198868.494300,24996.355784,99911.000000,0.001118,2,1
4,8.000000,15.293179,0.001520,0.000373,499240.000000,3198807.321584,24996.049920,99907.000000,0.000852,2,1
4,16.000000,15.617838,0.001648,0.000392,499176.000000,3198744.850233,24995.971831,99903.000000,0.001703,2,1
1,8.000000,8.130405,0.001664,0.000395,499168.000000,3198736.719829,24995.961668,99902.000000,0.000213,2,1
2,5.000000,9.097853,0.001684,0.000400,499158.000000,3198718.524123,24995.916178,99900.000000,0.000266,2,1
1,9.000000,9.038324,0.001702,0.000403,499149.000000,3198709.485800,24995.904881,99899.000000,0.000240,2,1
5,6.000000,12.103459,0.001762,0.000422,499119.000000,3198648.968504,24995.753587,99894.000000,0.000798,2,1
5,7.000000,13.100418,0.001832,0.000443,499084.000000,3198583.466413,24995.589832,99889.000000,0.000931,2,1
2,6.000000,11.201829,0.001856,0.000450,499072.000000,3198561.062755,24995.477814,99887.000000,0.000319,2,1
3,6.000000,12.207963,0.001892,0.000461,499054.000000,3198524.438867,24995.294694,99884.000000,0.000479,2,1
2,5.000000,10.222198,0.001912,0.000468,499044.000000,3198503.994472,24995.192472,99882.000000,0.000266,2,1
2,11.000000,10.918276,0.001956,0.000474,499022.000000,3198482.157920,24995.165177,99880.000000,0.000585,2,1
1,5.000000,9.132820,0.001966,0.000477,499017.000000,3198473.025100,24995.119513,99879.000000,0.000133,2,1
1,5.000000,9.253433,0.001976,0.000480,499012.000000,3198463.771667,24995.073245,99878.000000,0.000133,2,1
3,6.000000,12.901119,0.002012,0.000492,498994.000000,3198425.068311,24994.879729,99875.000000,0.000479,2,1
3,6.000000,12.213960,0.002048,0.000504,498976.000000,3198388.426431,24994.696519,99872.000000,0.000479,2,1
3,14.000000,14.461796,0.002132,0.000517,498934.000000,3198345.041043,24994.642288,99869.000000,0.001118,2,1
1,4.000000,8.558042,0.002140,0.000520,498930.000000,3198336.483001,24994.599497,99868.000000,0.000106,2,1
3,14.000000,14.264794,0.002224,0.000533,498888.000000,3198293.688619,24994.546004,99865.000000,0.001118,2,1
4,8.000000,15.293179,0.002288,0.000552,498856.000000,3198232.515904,24994.240141,99861.000000,0.000852,2,1
4,16.000000,15.617838,0.002416,0.000572,498792.000000,3198170.044553,24994.162052,99857.000000,0.001703,2,1
1,8.000000,8.130405,0.002432,0.000574,498784.000000,3198161.914148,24994.151889,99856.000000,0.000213,2,1
2,5.000000,9.097853,0.002452,0.000580,498774.000000,3198143.718443,24994.106399,99854.000000,0.000266,2,1
8,8.000000,15.991396,0.002580,0.000620,498710.000000,3198015.787274,24993.786571,99846.000000,0.001703,2,1
2,12.000000,11.948664,0.002628,0.000628,498686.000000,3197991.889946,24993.756700,99844.000000,0.000639,2,1
2,5.000000,10.340134,0.002648,0.000634,498676.000000,3197971.209677,24993.653298,99842.000000,0.000266,2,1
2,5.000000,10.266518,0.002668,0.000640,498666.000000,3197950.676642,24993.550633,99840.000000,0.000266,2,1
2,5.000000,9.537711,0.002688,0.000646,498656.000000,3197931.601220,24993.502945,99838.000000,0.000266,2,1
3,5.000000,10.681782,0.002718,0.000656,498641.000000,3197899.555874,24993.422831,99835.000000,0.000399,2,1
2,12.000000,11.819176,0.002766,0.000664,498617.000000,3197875.917521,24993.393283,99833.000000,0.000639,2,1
3,7.000000,13.085694,0.002808,0.000676,498596.000000,3197836.660440,24993.196998,99830.000000,0.000559,2,1
1,9.000000,9.038324,0.002826,0.000679,498587.000000,3197827.622116,24993.185700,99829.000000,0.000240,2,1
5,6.000000,12.103459,0.002886,0.000698,498557.000000,3197767.104820,24993.034407,99824.000000,0.000798,2,1
5,7.000000,13.100418,0.002956,0.000718,498522.000000,3197701.602729,24992.870652,99819.000000,0.000931,2,1
2,6.000000,11.201829,0.002980,0.000725,498510.000000,3197679.199072,24992.758633,99817.000000,0.000319,2,1
3,6.000000,12.207963,0.003016,0.000737,498492.000000,3197642.575183,24992.575514,99814.000000,0.000479,2,1
2,5.000000,10.222198,0.003036,0.000743,498482.000000,3197622.130788,24992.473292,99812.000000,0.000266,2,1
2,11.000000,10.918276,0.003080,0.000750,498460.000000,3197600.294236,24992.445996,99810.000000,0.000585,2,1
1,5.000000,9.132820,0.003090,0.000753,498455.000000,3197591.161416,24992.400332,99809.000000,0.000133,2,1
1,5.000000,9.253433,0.003100,0.000756,498450.000000,3197581.907983,24992.354065,99808.000000,0.000133,2,1
3,6.000000,12.901119,0.003136,0.000768,498432.000000,3197543.204627,24992.160548,99805.000000,0.000479,2,1
