num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
3,5.000000,5.340891,0.000030,0.000005,499985.000000,3199983.977327,24999.919887,99997.000000,0.000399,4,1
2,12.000000,5.909588,0.000078,0.000009,499961.000000,3199972.158151,24999.890339,99995.000000,0.000639,4,1
2,11.000000,5.459138,0.000122,0.000012,499939.000000,3199961.239875,24999.863043,99993.000000,0.000585,4,1
3,7.000000,6.542847,0.000164,0.000018,499918.000000,3199941.611334,24999.666758,99990.000000,0.000559,4,1
8,8.000000,7.995698,0.000292,0.000038,499854.000000,3199877.645749,24999.346930,99982.000000,0.001703,4,1
2,12.000000,5.974332,0.000340,0.000042,499830.000000,3199865.697086,24999.317058,99980.000000,0.000639,4,1
3,6.000000,6.106980,0.000376,0.000048,499812.000000,3199847.376146,24999.133849,99977.000000,0.000479,4,1
3,14.000000,7.132397,0.000460,0.000054,499770.000000,3199825.978955,24999.080356,99974.000000,0.001118,4,1
4,8.000000,7.646589,0.000524,0.000064,499738.000000,3199795.392597,24998.774492,99970.000000,0.000852,4,1
2,11.000000,5.459138,0.000568,0.000067,499716.000000,3199784.474322,24998.747196,99968.000000,0.000585,4,1
1,5.000000,4.566410,0.000578,0.000069,499711.000000,3199779.907911,24998.701532,99967.000000,0.000133,4,1
1,5.000000,4.626716,0.000588,0.000070,499706.000000,3199775.281195,24998.655265,99966.000000,0.000133,4,1
3,6.000000,6.450559,0.000624,0.000076,499688.000000,3199755.929517,24998.461748,99963.000000,0.000479,4,1
3,6.000000,6.106980,0.000660,0.000082,499670.000000,3199737.608577,24998.278539,99960.000000,0.000479,4,1
3,14.000000,7.132397,0.000744,0.000089,499628.000000,3199716.211387,24998.225046,99957.000000,0.001118,4,1
4,8.000000,7.646589,0.000808,0.000098,499596.000000,3199685.625029,24997.919182,99953.000000,0.000852,4,1
4,16.000000,7.808919,0.000936,0.000108,499532.000000,3199654.389353,24997.841093,99949.000000,0.001703,4,1
1,8.000000,4.065202,0.000952,0.000109,499524.000000,3199650.324151,24997.830930,99948.000000,0.000213,4,1
2,5.000000,4.548926,0.000972,0.000112,499514.000000,3199641.226298,24997.785441,99946.000000,0.000266,4,1
1,9.000000,4.519162,0.000990,0.000114,499505.000000,3199636.707137,24997.774143,99945.000000,0.000240,4,1
5,6.000000,6.051730,0.001050,0.000123,499475.000000,3199606.448489,24997.622850,99940.000000,0.000798,4,1
5,7.000000,6.550209,0.001120,0.000133,499440.000000,3199573.697443,24997.459095,99935.000000,0.000931,4,1
2,6.000000,5.600914,0.001144,0.000137,499428.000000,3199562.495614,24997.347076,99933.000000,0.000319,4,1
3,5.000000,5.340891,0.001174,0.000142,499413.000000,3199546.472941,24997.266963,99930.000000,0.000399,4,1
2,12.000000,5.909588,0.001222,0.000145,499389.000000,3199534.653765,24997.237415,99928.000000,0.000639,4,1
3,7.000000,6.542847,0.001264,0.000152,499368.000000,3199515.025224,24997.041130,99925.000000,0.000559,4,1
8,8.000000,7.995698,0.001392,0.000172,499304.000000,3199451.059640,24996.721302,99917.000000,0.001703,4,1
2,12.000000,5.974332,0.001440,0.000175,499280.000000,3199439.110976,24996.691430,99915.000000,0.000639,4,1
2,5.000000,5.170067,0.001460,0.000179,499270.000000,3199428.770841,24996.588029,99913.000000,0.000266,4,1
2,5.000000,5.133259,0.001480,0.000182,499260.000000,3199418.504323,24996.485363,99911.000000,0.000266,4,1
2,5.000000,5.111099,0.001500,0.000185,499250.000000,3199408.282126,24996.383141,99909.000000,0.000266,4,1
4,16.000000,7.808919,0.001628,0.000195,499186.000000,3199377.046450,24996.305052,99905.000000,0.001703,4,1
1,8.000000,4.065202,0.001644,0.000196,499178.000000,3199372.981248,24996.294889,99904.000000,0.000213,4,1
2,5.000000,4.548926,0.001664,0.000199,499168.000000,3199363.883395,24996.249400,99902.000000,0.000266,4,1
1,9.000000,4.519162,0.001682,0.000200,499159.000000,3199359.364233,24996.238102,99901.000000,0.000240,4,1
5,6.000000,6.051730,0.001742,0.000210,499129.000000,3199329.105586,24996.086809,99896.000000,0.000798,4,1
5,7.000000,6.550209,0.001812,0.000220,499094.000000,3199296.354540,24995.923054,99891.000000,0.000931,4,1
2,6.000000,5.600914,0.001836,0.000223,499082.000000,3199285.152711,24995.811035,99889.000000,0.000319,4,1
3,5.000000,5.340891,0.001866,0.000228,499067.000000,3199269.130038,24995.730922,99886.000000,0.000399,4,1
2,12.000000,5.909588,0.001914,0.000232,499043.000000,3199257.310862,24995.701374,99884.000000,0.000639,4,1
3,7.000000,6.542847,0.001956,0.000238,499022.000000,3199237.682321,24995.505089,99881.000000,0.000559,4,1
8,8.000000,7.995698,0.002084,0.000258,498958.000000,3199173.716736,24995.185261,99873.000000,0.001703,4,1
2,12.000000,5.974332,0.002132,0.000262,498934.000000,3199161.768073,24995.155389,99871.000000,0.000639,4,1
2,5.000000,5.170067,0.002152,0.000265,498924.000000,3199151.427938,24995.051988,99869.000000,0.000266,4,1
