config_name,energy_weight,sla_weight,rejection_penalty,avg_energy_per_task,acceptance_rate,sla_compliance_rate,avg_reward,total_energy,total_accepted,total_tasks
full,0.6,0.2,0.8,0.0011808995343488287,0.53,0.9528301886792453,31.383935933823842,0.6258767532048792,530,1000
no_energy,0.0,0.4,0.8,0.001231511982956269,0.524,0.9465648854961832,29.98943675007134,0.645312279069085,524,1000
no_sla,0.6,0.0,0.8,0.001126406733643125,0.555,0.9405405405405405,36.70322162730061,0.6251557371719343,555,1000
no_rejection_penalty,0.6,0.2,0.0,0.0015181742002537556,0.475,0.9284210526315789,19.606225031297594,0.7211327451205339,475,1000
no_acceptance_bonus,0.6,0.2,0.8,0.0009831887537544342,0.562,0.9341637010676157,38.224240399264396,0.552552079609992,562,1000
aggressive_accept,0.4,0.2,1.2,0.0011898942592705507,0.535,0.9439252336448598,32.29343675007131,0.6365934287097447,535,1000
