preset,episode,total_accepted,total_rejected,acceptance_rate,total_energy_kwh,capacity_rejections,policy_rejections,sla_violations
small,0,179,321,0.358,0.3975064641555188,131,190,0
small,1,133,367,0.266,0.3570639021113481,110,257,0
small,2,167,333,0.334,0.27931563431705586,138,195,0
small,3,174,326,0.348,0.2594463159790415,115,211,0
small,4,154,346,0.308,0.30320604622337033,124,222,0
small,5,160,340,0.32,0.2756156835080582,100,240,0
small,6,203,297,0.406,0.23652421563996132,110,187,0
small,7,195,305,0.39,0.2802591283292615,111,194,0
small,8,186,314,0.372,0.4308305427118972,129,185,0
small,9,127,373,0.254,0.18760919620144248,106,267,0
medium,0,274,226,0.548,0.24482095451403665,112,114,0
medium,1,252,248,0.504,0.2318730421117249,146,102,0
medium,2,241,259,0.482,0.27865400867405465,141,118,0
medium,3,281,219,0.562,0.22921226885266355,118,101,0
medium,4,247,253,0.494,0.21899903424964873,147,106,0
medium,5,285,215,0.57,0.2160883004957891,144,71,0
medium,6,247,253,0.494,0.23418695945496354,154,99,0
medium,7,273,227,0.546,0.2053841020404524,122,105,0
medium,8,243,257,0.486,0.3062281237975239,129,128,0
medium,9,286,214,0.572,0.28848263705267757,129,85,0
large,0,296,204,0.592,0.17291625089101856,130,74,0
large,1,319,181,0.638,0.1729072653018328,138,43,0
large,2,310,190,0.62,0.15359336729079243,129,61,0
large,3,308,192,0.616,0.16740844202730926,145,47,0
large,4,298,202,0.596,0.18538491348730873,135,67,0
large,5,320,180,0.64,0.13859495582900472,130,50,0
large,6,316,184,0.632,0.17795695299491737,143,41,0
large,7,294,206,0.588,0.20998468432098155,127,79,0
large,8,305,195,0.61,0.1767151167545875,140,55,0
large,9,314,186,0.628,0.17477902414966476,132,54,0
high_load,0,181,319,0.362,0.43368633976089765,135,184,0
high_load,1,160,340,0.32,0.35437268558088175,132,208,0
high_load,2,117,383,0.234,0.38450455809943346,131,252,0
high_load,3,186,314,0.372,0.3820995194526515,146,168,0
high_load,4,133,367,0.266,0.35435741306787677,142,225,0
high_load,5,146,354,0.292,0.42013366339797126,129,225,0
high_load,6,176,324,0.352,0.3366029486551187,133,191,0
high_load,7,174,326,0.348,0.48402856065861843,123,203,0
high_load,8,158,342,0.316,0.37429665154717284,119,223,0
high_load,9,90,410,0.18,0.4464922324039141,86,324,0
stress_test,0,83,417,0.166,0.18375654101396857,106,311,0
stress_test,1,105,395,0.21,0.11540332864153412,111,284,0
stress_test,2,95,405,0.19,0.14875349796359313,125,280,0
stress_test,3,83,417,0.166,0.17661543689132897,79,338,0
stress_test,4,95,405,0.19,0.16036109809676263,95,310,0
stress_test,5,109,391,0.218,0.15220242858293737,113,278,0
stress_test,6,104,396,0.208,0.1459030089459226,128,268,0
stress_test,7,125,375,0.25,0.14377749086700148,124,251,0
stress_test,8,66,434,0.132,0.17641673508099034,74,360,0
stress_test,9,95,405,0.19,0.15974674296181135,110,295,0
