episode,reward,policy_loss,value_loss,entropy_loss
1,12.961187288085672,-0.02076193127904844,3.117976542186647,0.46808277098461987
2,-13.417133477565773,-0.01703357739606872,2.3866902361054576,0.30917440047487615
3,-9.251405005662429,-0.009994446737982799,3.125871143754954,0.25044326432980596
4,-21.588913984996964,-0.008869069124921225,3.1372746687101665,0.24870375422760843
5,29.6836600668373,-0.0084934748847445,3.0146421547134024,0.24304076414555312
6,-25.574704844855972,-0.007244750473182649,3.6390134297441676,0.24447565411683173
7,33.16447672185626,-0.00420494991922169,2.7648505824061678,0.1664705859962851
8,1.223324912497323,-0.002932344292639755,2.946693452351332,0.16161967660300433
9,-22.286831486740002,-0.003010099632956553,4.0437339279679465,0.25211534965783355
10,-23.245862893018042,-0.004916261207836214,3.2736474270557174,0.18062040966469795
11,-0.8552793166381671,-0.002302050294383662,4.013298828687283,0.19038701984100043
12,-24.790208139355673,-0.004719259985722602,3.138049770559293,0.1403747555683367
13,5.192689660135422,-0.007604466998600401,3.8300616442614106,0.18496105044614525
14,-42.84568532357703,-0.005717369822377805,2.8886274742127185,0.164311758056283
15,7.858252705427206,-0.0034793220665051195,2.343784048727104,0.06876561337849126
16,-4.226497140421712,-0.0051336145181267055,3.566889922182198,0.15142814293503762
17,-12.029350622638088,-0.005546296539250761,2.8408483615807922,0.19973301468417048
18,2.9375134846902067,-0.006807811635371763,2.9240007212062133,0.1572922634659335
19,22.960193143174653,-0.003918449672346469,2.7932217333175187,0.14488808643072842
20,11.197656411842388,-0.004009760290500708,3.3733517806478566,0.13884853485506027
21,-57.48285922547785,-0.005673408781876788,2.6032330681937847,0.1546573457075283
22,-55.7865185174123,-0.004132683412171901,2.7026992202186713,0.105093902873341
23,-1.5504545617669068,-0.00606711270957021,2.688215831632941,0.1275677606347017
24,-4.972011127898576,-0.005403059318632586,3.490316199612323,0.13338832152076066
25,-9.81051215101486,-0.006048584486416075,4.734077665486602,0.18498075366951525
26,-18.177644630246334,-0.010395840695491643,3.1028353328375435,0.1547211591852829
27,-20.156148873582783,-0.007253459380444837,3.0085219993351604,0.14941203249618412
