config_name,energy_weight,sla_weight,rejection_penalty,avg_energy_per_task,acceptance_rate,sla_compliance_rate,avg_reward,total_energy,total_accepted,total_tasks
full,0.8,0.15,0.3,0.0009899661064018675,0.5812,0.9459738472126634,67.08608268157268,2.8768415052038265,2906,5000
no_energy,0.0,0.5,0.3,0.0010281163768237798,0.5734,0.9452389257063132,65.7006605346241,2.9476096523537767,2867,5000
no_sla,0.8,0.0,0.3,0.0011006927013264304,0.5892,0.9341479972844535,68.31297231809619,3.242640698107664,2946,5000
no_rejection_penalty,0.8,0.15,0.0,0.0010794347658012382,0.5874,0.9404153898535921,67.99014755894954,3.1702999071582365,2937,5000
energy_only,1.0,0.0,0.0,0.0010122750677419071,0.569,0.9486818980667838,65.00998234932936,2.8799225677257256,2845,5000
