num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
2,8.000000,7.713378,0.000032,0.000005,499984.000000,3199984.573243,24999.980478,99998.000000,0.000426,2,1
2,7.000000,6.698595,0.000060,0.000009,499970.000000,3199971.176053,24999.962647,99996.000000,0.000373,2,1
2,4.000000,3.823295,0.000076,0.000011,499962.000000,3199963.529463,24999.886181,99994.000000,0.000213,2,1
1,4.000000,4.188707,0.000084,0.000013,499958.000000,3199959.340756,24999.879357,99993.000000,0.000106,2,1
2,8.000000,7.713378,0.000116,0.000018,499942.000000,3199943.914000,24999.859835,99991.000000,0.000426,2,1
2,7.000000,6.698595,0.000144,0.000022,499928.000000,3199930.516809,24999.842004,99989.000000,0.000373,2,1
2,3.000000,2.670446,0.000156,0.000023,499922.000000,3199925.175918,24999.815299,99987.000000,0.000160,2,1
1,3.000000,2.555549,0.000162,0.000024,499919.000000,3199922.620369,24999.789744,99986.000000,0.000080,2,1
1,5.000000,4.864382,0.000172,0.000026,499914.000000,3199917.755986,24999.782357,99985.000000,0.000133,2,1
2,7.000000,6.698595,0.000200,0.000030,499900.000000,3199904.358796,24999.764526,99983.000000,0.000373,2,1
2,4.000000,3.823295,0.000216,0.000032,499892.000000,3199896.712206,24999.688060,99981.000000,0.000213,2,1
1,3.000000,2.555549,0.000222,0.000033,499889.000000,3199894.156657,24999.662504,99980.000000,0.000080,2,1
2,8.000000,7.713378,0.000254,0.000038,499873.000000,3199878.729900,24999.642982,99978.000000,0.000426,2,1
1,3.000000,2.555549,0.000260,0.000039,499870.000000,3199876.174351,24999.617426,99977.000000,0.000080,2,1
1,3.000000,2.555549,0.000266,0.000039,499867.000000,3199873.618801,24999.591871,99976.000000,0.000080,2,1
2,8.000000,7.713378,0.000298,0.000044,499851.000000,3199858.192044,24999.572349,99974.000000,0.000426,2,1
1,3.000000,2.555549,0.000304,0.000045,499848.000000,3199855.636495,24999.546793,99973.000000,0.000080,2,1
1,5.000000,4.864382,0.000314,0.000047,499843.000000,3199850.772113,24999.539406,99972.000000,0.000133,2,1
2,7.000000,6.698595,0.000342,0.000051,499829.000000,3199837.374922,24999.521575,99970.000000,0.000373,2,1
2,3.000000,2.670446,0.000354,0.000052,499823.000000,3199832.034031,24999.494871,99968.000000,0.000160,2,1
1,4.000000,4.188707,0.000362,0.000054,499819.000000,3199827.845324,24999.488047,99967.000000,0.000106,2,1
2,3.000000,2.670446,0.000374,0.000055,499813.000000,3199822.504433,24999.461342,99965.000000,0.000160,2,1
1,3.000000,2.555549,0.000380,0.000056,499810.000000,3199819.948884,24999.435787,99964.000000,0.000080,2,1
2,4.000000,3.823295,0.000396,0.000059,499802.000000,3199812.302294,24999.359321,99962.000000,0.000213,2,1
2,7.000000,6.698595,0.000424,0.000063,499788.000000,3199798.905104,24999.341490,99960.000000,0.000373,2,1
2,4.000000,3.823295,0.000440,0.000065,499780.000000,3199791.258514,24999.265024,99958.000000,0.000213,2,1
1,4.000000,4.188707,0.000448,0.000067,499776.000000,3199787.069807,24999.258200,99957.000000,0.000106,2,1
