num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
2,3.000000,2.670446,0.000764,0.000114,499618.000000,3199634.908652,24998.769942,99923.000000,0.000160,2,1
1,3.000000,2.555549,0.000770,0.000115,499615.000000,3199632.353103,24998.744387,99922.000000,0.000080,2,1
2,4.000000,3.823295,0.000786,0.000117,499607.000000,3199624.706513,24998.667921,99920.000000,0.000213,2,1
2,7.000000,6.698595,0.000814,0.000121,499593.000000,3199611.309322,24998.650090,99918.000000,0.000373,2,1
2,4.000000,3.823295,0.000830,0.000124,499585.000000,3199603.662733,24998.573624,99916.000000,0.000213,2,1
1,4.000000,4.188707,0.000838,0.000125,499581.000000,3199599.474026,24998.566800,99915.000000,0.000106,2,1
2,3.000000,2.670446,0.000850,0.000127,499575.000000,3199594.133135,24998.540095,99913.000000,0.000160,2,1
2,8.000000,7.713378,0.000882,0.000132,499559.000000,3199578.706378,24998.520573,99911.000000,0.000426,2,1
1,5.000000,4.864382,0.000892,0.000133,499554.000000,3199573.841996,24998.513186,99910.000000,0.000133,2,1
2,8.000000,7.713378,0.000924,0.000138,499538.000000,3199558.415239,24998.493664,99908.000000,0.000426,2,1
2,4.000000,3.823295,0.000940,0.000140,499530.000000,3199550.768650,24998.417198,99906.000000,0.000213,2,1
1,3.000000,2.555549,0.000946,0.000141,499527.000000,3199548.213101,24998.391642,99905.000000,0.000080,2,1
1,5.000000,4.864382,0.000956,0.000143,499522.000000,3199543.348718,24998.384255,99904.000000,0.000133,2,1
1,3.000000,2.555549,0.000962,0.000144,499519.000000,3199540.793169,24998.358700,99903.000000,0.000080,2,1
2,7.000000,6.698595,0.000990,0.000148,499505.000000,3199527.395978,24998.340869,99901.000000,0.000373,2,1
1,4.000000,4.188707,0.000998,0.000149,499501.000000,3199523.207271,24998.334045,99900.000000,0.000106,2,1
2,8.000000,7.713378,0.001030,0.000154,499485.000000,3199507.780515,24998.314523,99898.000000,0.000426,2,1
2,7.000000,6.698595,0.001058,0.000158,499471.000000,3199494.383324,24998.296692,99896.000000,0.000373,2,1
2,3.000000,2.670446,0.001070,0.000160,499465.000000,3199489.042433,24998.269987,99894.000000,0.000160,2,1
1,5.000000,4.864382,0.001080,0.000161,499460.000000,3199484.178051,24998.262600,99893.000000,0.000133,2,1
1,4.000000,4.188707,0.001088,0.000163,499456.000000,3199479.989344,24998.255776,99892.000000,0.000106,2,1
2,3.000000,2.670446,0.001100,0.000164,499450.000000,3199474.648453,24998.229072,99890.000000,0.000160,2,1
1,3.000000,2.555549,0.001106,0.000165,499447.000000,3199472.092903,24998.203516,99889.000000,0.000080,2,1
2,4.000000,3.823295,0.001122,0.000167,499439.000000,3199464.446314,24998.127050,99887.000000,0.000213,2,1
2,7.000000,6.698595,0.001150,0.000172,499425.000000,3199451.049123,24998.109220,99885.000000,0.000373,2,1
2,4.000000,3.823295,0.001166,0.000174,499417.000000,3199443.402534,24998.032754,99883.000000,0.000213,2,1
1,4.000000,4.188707,0.001174,0.000175,499413.000000,3199439.213827,24998.025930,99882.000000,0.000106,2,1
2,3.000000,2.670446,0.001186,0.000177,499407.000000,3199433.872936,24997.999225,99880.000000,0.000160,2,1
2,8.000000,7.713378,0.001218,0.000182,499391.000000,3199418.446179,24997.979703,99878.000000,0.000426,2,1
1,5.000000,4.864382,0.001228,0.000183,499386.000000,3199413.581797,24997.972316,99877.000000,0.000133,2,1
2,8.000000,7.713378,0.001260,0.000188,499370.000000,3199398.155040,24997.952794,99875.000000,0.000426,2,1
2,4.000000,3.823295,0.001276,0.000190,499362.000000,3199390.508451,24997.876328,99873.000000,0.000213,2,1
1,3.000000,2.555549,0.001282,0.000191,499359.000000,3199387.952901,24997.850772,99872.000000,0.000080,2,1
1,5.000000,4.864382,0.001292,0.000193,499354.000000,3199383.088519,24997.843385,99871.000000,0.000133,2,1
1,3.000000,2.555549,0.001298,0.000194,499351.000000,3199380.532970,24997.817830,99870.000000,0.000080,2,1
2,7.000000,6.698595,0.001326,0.000198,499337.000000,3199367.135779,24997.799999,99868.000000,0.000373,2,1
1,4.000000,4.188707,0.001334,0.000199,499333.000000,3199362.947072,24997.793175,99867.000000,0.000106,2,1
2,8.000000,7.713378,0.001366,0.000204,499317.000000,3199347.520315,24997.773653,99865.000000,0.000426,2,1
2,7.000000,6.698595,0.001394,0.000208,499303.000000,3199334.123125,24997.755822,99863.000000,0.000373,2,1
2,3.000000,2.670446,0.001406,0.000210,499297.000000,3199328.782234,24997.729117,99861.000000,0.000160,2,1
