num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
6,27.000000,7.132397,0.000324,0.000013,499838.000000,3199957.205619,24999.893014,0.000000,0.004311,1,1
2,5.000000,5.111099,0.000344,0.000017,499828.000000,3199946.983421,24999.790792,0.000000,0.000266,1,1
8,31.000000,7.808919,0.000840,0.000036,499580.000000,3199884.512070,24999.634614,0.000000,0.006600,1,1
1,8.000000,4.065202,0.000856,0.000037,499572.000000,3199880.446867,24999.624451,0.000000,0.000213,1,1
3,6.000000,5.646779,0.000892,0.000043,499554.000000,3199863.506531,24999.556217,0.000000,0.000479,1,1
2,11.000000,4.519162,0.000936,0.000045,499532.000000,3199854.468207,24999.533621,0.000000,0.000585,1,1
9,10.000000,10.155189,0.001116,0.000074,499442.000000,3199763.071509,24999.261293,0.000000,0.002395,1,1
11,12.000000,11.650627,0.001380,0.000114,499310.000000,3199634.914609,24998.901032,0.000000,0.003513,1,1
2,6.000000,5.600914,0.001404,0.000118,499298.000000,3199623.712780,24998.789013,0.000000,0.000319,1,1
6,8.000000,8.022673,0.000680,0.000100,499660.000000,3199680.842474,24998.891951,0.000000,0.001277,1,1
4,19.000000,5.909588,0.000832,0.000107,499584.000000,3199657.204122,24998.832855,0.000000,0.002023,1,1
3,7.000000,6.542847,0.000874,0.000113,499563.000000,3199637.575581,24998.636570,0.000000,0.000559,1,1
16,16.000000,15.987094,0.001386,0.000193,499307.000000,3199381.782073,24997.996914,0.000000,0.006813,1,1
4,20.000000,5.974332,0.001546,0.000201,499227.000000,3199357.884746,24997.937171,0.000000,0.002129,1,1
2,5.000000,5.170067,0.001566,0.000204,499217.000000,3199347.544611,24997.833769,0.000000,0.000266,1,1
2,5.000000,5.133259,0.001586,0.000207,499207.000000,3199337.278093,24997.731104,0.000000,0.000266,1,1
2,5.000000,5.111099,0.001606,0.000210,499197.000000,3199327.055896,24997.628882,0.000000,0.000266,1,1
4,17.000000,5.459138,0.001742,0.000217,499129.000000,3199305.219344,24997.574291,0.000000,0.001810,1,1
1,5.000000,4.566410,0.001752,0.000219,499124.000000,3199300.652934,24997.528627,0.000000,0.000133,1,1
1,5.000000,4.626716,0.001762,0.000220,499119.000000,3199296.026217,24997.482359,0.000000,0.000133,1,1
3,6.000000,6.450559,0.001798,0.000226,499101.000000,3199276.674539,24997.288843,0.000000,0.000479,1,1
2,5.000000,5.170067,0.001818,0.000229,499091.000000,3199266.334405,24997.185441,0.000000,0.000266,1,1
2,5.000000,5.133259,0.001838,0.000232,499081.000000,3199256.067887,24997.082776,0.000000,0.000266,1,1
2,5.000000,5.111099,0.001858,0.000236,499071.000000,3199245.845690,24996.980554,0.000000,0.000266,1,1
8,31.000000,7.808919,0.002354,0.000255,498823.000000,3199183.374338,24996.824376,0.000000,0.006600,1,1
1,8.000000,4.065202,0.002370,0.000256,498815.000000,3199179.309136,24996.814213,0.000000,0.000213,1,1
3,6.000000,5.646779,0.002406,0.000262,498797.000000,3199162.368799,24996.745979,0.000000,0.000479,1,1
2,11.000000,4.519162,0.002450,0.000265,498775.000000,3199153.330476,24996.723383,0.000000,0.000585,1,1
9,10.000000,10.155189,0.002630,0.000293,498685.000000,3199061.933777,24996.451055,0.000000,0.002395,1,1
11,12.000000,11.650627,0.002894,0.000333,498553.000000,3198933.776878,24996.090794,0.000000,0.003513,1,1
2,6.000000,5.600914,0.002918,0.000337,498541.000000,3198922.575049,24995.978775,0.000000,0.000319,1,1
6,8.000000,8.022673,0.003014,0.000352,498493.000000,3198874.439010,24995.818549,0.000000,0.001277,1,1
4,19.000000,5.909588,0.003166,0.000359,498417.000000,3198850.800658,24995.759453,0.000000,0.002023,1,1
3,7.000000,6.542847,0.003208,0.000365,498396.000000,3198831.172117,24995.563167,0.000000,0.000559,1,1
16,16.000000,15.987094,0.003720,0.000445,498140.000000,3198575.378609,24994.923512,0.000000,0.006813,1,1
4,20.000000,5.974332,0.003880,0.000453,498060.000000,3198551.481282,24994.863768,0.000000,0.002129,1,1
2,5.000000,5.170067,0.003900,0.000456,498050.000000,3198541.141147,24994.760367,0.000000,0.000266,1,1
2,5.000000,5.133259,0.003920,0.000459,498040.000000,3198530.874629,24994.657702,0.000000,0.000266,1,1
2,5.000000,5.111099,0.003940,0.000462,498030.000000,3198520.652432,24994.555480,0.000000,0.000266,1,1
8,31.000000,7.808919,0.004436,0.000482,497782.000000,3198458.181080,24994.399301,0.000000,0.006600,1,1
1,8.000000,4.065202,0.004452,0.000483,497774.000000,3198454.115878,24994.389138,0.000000,0.000213,1,1
3,6.000000,5.646779,0.004488,0.000488,497756.000000,3198437.175541,24994.320904,0.000000,0.000479,1,1
2,11.000000,4.519162,0.004532,0.000491,497734.000000,3198428.137218,24994.298309,0.000000,0.000585,1,1
9,10.000000,10.155189,0.004712,0.000520,497644.000000,3198336.740519,24994.025981,0.000000,0.002395,1,1
11,12.000000,11.650627,0.004976,0.000560,497512.000000,3198208.583620,24993.665719,0.000000,0.003513,1,1
2,6.000000,5.600914,0.005000,0.000563,497500.000000,3198197.381791,24993.553701,0.000000,0.000319,1,1
