train_preset,test_preset,num_hw_types_train,num_hw_types_test,avg_energy_per_task,acceptance_rate,sla_compliance_rate,avg_reward,is_same_config
medium,small,3,2,0.0006769096977488884,0.3532,0.9252548131370328,29.426680932450545,False
medium,medium,3,3,0.0010588241992936266,0.596,0.9402684563758389,69.44246689224603,True
medium,large,3,4,0.0011854190327857742,0.7142,0.9420330439652759,88.60825928300208,False
medium,enterprise,3,6,0.0014727265460623416,0.7806,0.9385088393543428,99.39980476884604,False
