preset,episode,total_accepted,total_rejected,acceptance_rate,total_energy_kwh,capacity_rejections,policy_rejections,sla_violations
small,0,134,366,0.268,0.11340602625896636,113,253,0
small,1,154,346,0.308,0.10732312248998233,158,188,0
small,2,146,354,0.292,0.13412345237872217,136,218,0
small,3,155,345,0.31,0.07688810570519901,112,233,0
small,4,139,361,0.278,0.10688235063875638,140,221,0
small,5,158,342,0.316,0.08871151084584587,124,218,0
small,6,173,327,0.346,0.07904483881947974,147,180,0
small,7,158,342,0.316,0.09131155068906668,129,213,0
small,8,165,335,0.33,0.1320509435764503,123,212,0
small,9,183,317,0.366,0.08502747799608808,135,182,0
medium,0,279,221,0.558,0.25602735864948983,118,103,0
medium,1,273,227,0.546,0.2723745132409475,142,85,0
medium,2,240,260,0.48,0.3651930037440402,144,116,0
medium,3,260,240,0.52,0.25817295405103224,123,117,0
medium,4,236,264,0.472,0.23290837749384677,147,117,0
medium,5,269,231,0.538,0.22243826220188873,147,84,0
medium,6,246,254,0.492,0.21679784653116546,147,107,0
medium,7,279,221,0.558,0.2846496951028046,118,103,0
medium,8,237,263,0.474,0.29373650795847195,137,126,0
medium,9,273,227,0.546,0.22928136146795153,135,92,0
large,0,356,144,0.712,0.3938595932620146,102,42,0
large,1,346,154,0.692,0.4013230775075109,121,33,0
large,2,325,175,0.65,0.47202193352675703,117,58,0
large,3,361,139,0.722,0.3573813221909213,111,28,0
large,4,354,146,0.708,0.3766420613848768,109,37,0
large,5,361,139,0.722,0.3679060390879071,121,18,0
large,6,349,151,0.698,0.3727891854335358,129,22,0
large,7,343,157,0.686,0.36490236161468065,111,46,0
large,8,356,144,0.712,0.4288868401215374,105,39,0
large,9,358,142,0.716,0.3654809458481527,108,34,0
high_load,0,153,347,0.306,0.09649567729449782,138,209,0
high_load,1,148,352,0.296,0.10316899532661983,172,180,0
high_load,2,119,381,0.238,0.13884452112551546,164,217,0
high_load,3,162,338,0.324,0.08247980176637815,134,204,0
high_load,4,117,383,0.234,0.11783544684032324,156,227,0
high_load,5,159,341,0.318,0.07374253932404291,151,190,0
high_load,6,143,357,0.286,0.06911617723221021,170,187,0
high_load,7,179,321,0.358,0.06522392497807795,125,196,0
high_load,8,169,331,0.338,0.11840937858226355,153,178,0
high_load,9,172,328,0.344,0.05544071909012931,163,165,0
stress_test,0,91,409,0.182,0.014061841132017867,131,278,0
stress_test,1,83,417,0.166,0.023382279239887865,158,259,0
stress_test,2,78,422,0.156,0.03300046989547168,146,276,0
stress_test,3,74,426,0.148,0.01783062876831488,122,304,0
stress_test,4,75,425,0.15,0.0177658050699351,139,286,0
stress_test,5,83,417,0.166,0.03078286977302125,140,277,0
stress_test,6,78,422,0.156,0.014208191670518245,140,282,0
stress_test,7,84,416,0.168,0.04193411120916109,99,317,0
stress_test,8,72,428,0.144,0.05561645305846172,126,302,0
stress_test,9,79,421,0.158,0.00964234767213098,142,279,0
